ID,employee_id,camera_no,confidence,name,time,branch_id,status
5343,2002020211,1,0.6,,2024-05-12 08:44:04,,0
5344,2006070502,1,0.65,,2024-05-12 08:51:23,,0
5345,2019032701,1,0.7,,2024-05-12 08:55:36,,0
5346,2002021403,1,0.66,,2024-05-12 08:56:05,,0
5347,2010030801,1,0.61,,2024-05-12 09:00:35,,0
5348,2002021606,1,0.68,,2024-05-12 09:02:54,,0
5349,2017011201,1,0.63,,2024-05-12 09:15:52,,0
5350,2014052002,0,0.62,,2024-05-12 09:19:13,,0
5351,2022081101,1,0.78,,2024-05-12 09:30:50,,0
5352,2005101602,0,0.67,,2024-05-12 09:31:00,,0
5353,2010072604,1,0.64,,2024-05-12 09:32:25,,0
5354,2012031803,1,0.66,,2024-05-12 09:34:44,,0
5356,2017010801,1,0.64,,2024-05-12 09:34:47,,0
5358,2022072602,1,0.66,,2024-05-12 09:35:39,,0
5359,2010022405,1,0.65,,2024-05-12 09:40:52,,0
5360,2011031401,1,0.66,,2024-05-12 09:42:35,,0
5362,2016122202,1,0.61,,2024-05-12 09:42:49,,0
5363,2022051213s,1,0.63,,2024-05-12 09:46:15,,0
5365,2013051217,1,0.67,,2024-05-12 09:51:01,,0
5366,2007121702,1,0.6,,2024-05-12 09:53:46,,0
5367,2022100301s,0,0.62,,2024-05-12 11:02:17,,0
