ID,employee_id,camera_no,confidence,name,time,branch_id,status
91,2015022201,0,0.63,,2024-05-15 17:13:45,,0
92,2012080703,0,0.63,,2024-05-15 17:13:58,,0
94,2011032702,0,0.66,,2024-05-15 17:14:41,,0
95,2019090106,2,0.65,,2024-05-15 17:14:45,,0
96,2006040302s,0,0.63,,2024-05-15 17:14:50,,0
97,2023040401s,0,0.65,,2024-05-15 17:14:51,,0
98,2023090304,2,0.64,,2024-05-15 17:14:52,,0
99,2019090106,1,0.65,,2024-05-15 17:14:56,,0
100,2001052802,0,0.7,,2024-05-15 17:15:03,,0
101,2007042313,2,0.7,,2024-05-15 17:15:31,,0
102,2007060606,0,0.69,,2024-05-15 17:15:36,,0
103,2022041201,3,0.65,,2024-05-15 17:16:12,,0
104,2007121710s,0,0.71,,2024-05-15 17:16:22,,0
105,2006080120,2,0.67,,2024-05-15 17:16:26,,0
106,2016042701s,0,0.71,,2024-05-15 17:16:27,,0
107,2021110301,2,0.64,,2024-05-15 17:16:33,,0
108,2017082002,3,0.71,,2024-05-15 17:16:51,,0
110,2018040101,3,0.73,,2024-05-15 17:16:55,,0
111,2012030109,2,0.66,,2024-05-15 17:16:56,,0
112,2018040101,1,0.68,,2024-05-15 17:16:57,,0
114,2013060212s,3,0.74,,2024-05-15 17:17:06,,0
115,2018042227s,0,0.66,,2024-05-15 17:17:16,,0
116,2023092702,0,0.65,,2024-05-15 17:18:08,,0
118,2020032501,0,0.64,,2024-05-15 17:18:13,,0
119,2023092702,3,0.65,,2024-05-15 17:18:18,,0
120,2012120202,0,0.76,,2024-05-15 17:18:18,,0
121,2009040105,3,0.64,,2024-05-15 17:18:59,,0
122,2009042101,2,0.79,,2024-05-15 17:19:21,,0
123,2013081101,0,0.67,,2024-05-15 17:19:24,,0
124,2018042203s,1,0.66,,2024-05-15 17:19:29,,0
125,2002031613s,2,0.65,,2024-05-15 17:20:26,,0
126,2020021904,1,0.68,,2024-05-15 17:20:27,,0
127,2002031613s,0,0.69,,2024-05-15 17:20:28,,0
128,2013081101,3,0.64,,2024-05-15 17:20:54,,0
129,2016011801,2,0.7,,2024-05-15 17:20:56,,0
130,2002021605,0,0.66,,2024-05-15 17:20:57,,0
131,2010032301,0,0.69,,2024-05-15 17:21:03,,0
132,2006110114,0,0.65,,2024-05-15 17:21:45,,0
133,2015021201,0,0.64,,2024-05-15 17:22:03,,0
134,2009101901,2,0.66,,2024-05-15 17:22:28,,0
135,2013031402s,0,0.64,,2024-05-15 17:22:32,,0
136,2023022202,2,0.63,,2024-05-15 17:22:35,,0
137,2014071513,3,0.65,,2024-05-15 17:22:38,,0
138,2017080801,0,0.63,,2024-05-15 17:22:39,,0
139,2014071513,1,0.65,,2024-05-15 17:22:39,,0
140,2021070502,1,0.63,,2024-05-15 17:23:16,,0
141,2007053106,0,0.64,,2024-05-15 17:23:16,,0
142,2011030601,2,0.81,,2024-05-15 17:23:20,,0
143,2006080112,0,0.68,,2024-05-15 17:23:21,,0
144,2015041501,3,0.64,,2024-05-15 17:23:48,,0
145,2006050701,0,0.69,,2024-05-15 17:23:53,,0
148,2023031401,3,0.7,,2024-05-15 17:24:22,,0
149,2012060307,0,0.7,,2024-05-15 17:24:38,,0
150,2001060203,2,0.64,,2024-05-15 17:24:41,,0
151,2022051212,0,0.67,,2024-05-15 17:24:45,,0
152,2001060203,0,0.69,,2024-05-15 17:24:48,,0
153,2021120112,1,0.69,,2024-05-15 17:24:54,,0
