ID,employee_id,camera_no,confidence,name,time,branch_id,status
182687,2019060301,3,0.63,,2024-12-02 09:52:21,,1
182688,2022082401,3,0.63,,2024-12-02 09:52:25,,1
182689,2024042303,3,0.66,,2024-12-02 09:52:27,,1
182690,2010032301,0,0.79,,2024-12-02 09:52:31,,1
182691,2007042315,1,0.64,,2024-12-02 09:52:47,,1
182692,2020020901s,1,0.63,,2024-12-02 09:53:09,,1
182693,2010083102,3,0.64,,2024-12-02 09:53:16,,1
182694,2021120112,1,0.69,,2024-12-02 09:53:19,,1
182695,2002020205,0,0.66,,2024-12-02 09:53:43,,1
182696,2017042601,3,0.67,,2024-12-02 09:53:43,,1
182697,2017042601,1,0.65,,2024-12-02 09:53:45,,1
182698,2016120115,1,0.69,,2024-12-02 09:53:46,,1
182699,2002021801,3,0.73,,2024-12-02 09:53:50,,1
182700,2005121801,3,0.64,,2024-12-02 09:53:52,,1
182701,2002021801,1,0.68,,2024-12-02 09:53:54,,1
182702,2024062302,3,0.71,,2024-12-02 09:53:54,,1
182703,2007120304,1,0.67,,2024-12-02 09:53:56,,1
182704,2012060307,1,0.65,,2024-12-02 09:53:59,,1
182705,2007050801,3,0.67,,2024-12-02 09:53:59,,1
182706,2007053103,3,0.7,,2024-12-02 09:53:59,,1
182707,2007053110,1,0.67,,2024-12-02 09:54:04,,1
182708,2001050802,3,0.67,,2024-12-02 09:54:06,,1
182709,2009090101,1,0.7,,2024-12-02 09:54:08,,1
182710,2001050802,1,0.63,,2024-12-02 09:54:08,,1
182711,2023102901,3,0.64,,2024-12-02 09:54:14,,1
182712,2012092307,1,0.65,,2024-12-02 09:54:18,,1
182713,2013010901,3,0.66,,2024-12-02 09:54:19,,1
182714,2022020103,1,0.72,,2024-12-02 09:54:21,,1
182715,2022110101,1,0.7,,2024-12-02 09:54:23,,1
182716,2022110101,3,0.68,,2024-12-02 09:54:23,,1
182717,2012110104,3,0.68,,2024-12-02 09:54:26,,1
182718,2024061201,3,0.7,,2024-12-02 09:54:27,,1
182719,2012110104,1,0.7,,2024-12-02 09:54:27,,1
182720,2012062705,1,0.68,,2024-12-02 09:54:29,,1
182721,2021120102,3,0.64,,2024-12-02 09:54:31,,1
182722,2021120102,1,0.66,,2024-12-02 09:54:31,,1
182723,2019090111,3,0.64,,2024-12-02 09:54:33,,1
182724,2022041701,3,0.66,,2024-12-02 09:54:37,,1
182725,2012031801,3,0.65,,2024-12-02 09:54:39,,1
182726,2024041501,1,0.64,,2024-12-02 09:54:43,,1
182727,2012110106,3,0.67,,2024-12-02 09:54:48,,1
182728,2013060508,1,0.69,,2024-12-02 09:54:48,,1
182729,2012110106,1,0.64,,2024-12-02 09:54:49,,1
182730,2022103101,1,0.72,,2024-12-02 09:54:50,,1
182731,2012060303,3,0.66,,2024-12-02 09:54:51,,1
182732,2006040302,3,0.7,,2024-12-02 09:54:52,,1
182733,2010102701,3,0.63,,2024-12-02 09:54:55,,1
182734,2016013101s,1,0.67,,2024-12-02 09:54:57,,1
182735,2021112301s,1,0.66,,2024-12-02 09:54:58,,1
182736,2019091501s,1,0.73,,2024-12-02 09:55:03,,1
182737,2021060201,0,0.65,,2024-12-02 09:55:05,,1
182738,2012102201,1,0.75,,2024-12-02 09:55:10,,1
182739,2024030511,3,0.65,,2024-12-02 09:55:12,,1
182740,2013070401,1,0.64,,2024-12-02 09:55:13,,1
182741,2017092801,3,0.64,,2024-12-02 09:55:20,,1
182742,2022041201,3,0.65,,2024-12-02 09:55:23,,1
182743,2010061502,3,0.7,,2024-12-02 09:55:24,,1
182744,2024052611,1,0.64,,2024-12-02 09:55:30,,1
182745,2022041201,0,0.67,,2024-12-02 09:55:30,,1
182746,2023100104,3,0.68,,2024-12-02 09:55:32,,1
182747,2023092101,1,0.78,,2024-12-02 09:55:39,,1
182748,2014071315,3,0.64,,2024-12-02 09:55:40,,1
182749,2011032009,1,0.7,,2024-12-02 09:55:42,,1
182750,2006011501,0,0.65,,2024-12-02 09:55:44,,1
182751,2023013103,3,0.71,,2024-12-02 09:55:46,,1
182752,2010050901,3,0.77,,2024-12-02 09:55:54,,1
182753,2013050802,3,0.69,,2024-12-02 09:55:54,,1
182754,2003121701s,1,0.76,,2024-12-02 09:55:55,,1
182755,2002021602,3,0.65,,2024-12-02 09:55:57,,1
182756,2019091501s,1,0.65,,2024-12-02 09:56:02,,1
182757,2011030612s,3,0.73,,2024-12-02 09:56:25,,1
182758,2023011201s,1,0.73,,2024-12-02 09:56:33,,1
182759,2011051101,3,0.64,,2024-12-02 09:56:37,,1
182760,2011051101,1,0.64,,2024-12-02 09:56:38,,1
182761,2006082005,1,0.68,,2024-12-02 09:56:41,,1
182762,2022011601,3,0.64,,2024-12-02 09:56:42,,1
182763,2005110202,1,0.65,,2024-12-02 09:56:50,,1
182764,2003070802,1,0.74,,2024-12-02 09:56:51,,1
182765,2001020401,3,0.71,,2024-12-02 09:57:06,,1
182766,2018040101,3,0.67,,2024-12-02 09:57:08,,1
182767,2024050511,1,0.63,,2024-12-02 09:57:09,,1
182768,2017080801,2,0.66,,2024-12-02 09:57:09,,1
182769,2018040101,1,0.68,,2024-12-02 09:57:12,,1
182770,2012061101s,3,0.67,,2024-12-02 09:57:12,,1
182771,2019102702,1,0.64,,2024-12-02 09:57:14,,1
182772,2011032302,1,0.63,,2024-12-02 09:57:16,,1
182773,2001020401,0,0.65,,2024-12-02 09:57:17,,1
182774,2019111901,1,0.65,,2024-12-02 09:57:18,,1
182775,2020022702,3,0.65,,2024-12-02 09:57:20,,1
182776,2022051601s,1,0.72,,2024-12-02 09:57:20,,1
182777,2023032002,3,0.68,,2024-12-02 09:57:33,,1
182778,2024020502,2,0.65,,2024-12-02 09:57:40,,1
182779,2020032501,3,0.65,,2024-12-02 09:57:41,,1
182780,2016120103,1,0.63,,2024-12-02 09:57:44,,1
182781,2020032501,1,0.64,,2024-12-02 09:57:45,,1
182782,2007042402,3,0.65,,2024-12-02 09:57:50,,1
182783,2018052801,3,0.69,,2024-12-02 09:57:56,,1
182784,2018052801,1,0.65,,2024-12-02 09:57:57,,1
182785,2010041701,3,0.7,,2024-12-02 09:58:00,,1
182786,2011030601s,3,0.67,,2024-12-02 09:58:01,,1
182787,2021110301,0,0.64,,2024-12-02 09:58:18,,1
182788,2012030105,1,0.63,,2024-12-02 09:58:25,,1
182789,2021062903,0,0.68,,2024-12-02 09:58:26,,1
182790,2012032901,3,0.63,,2024-12-02 09:58:29,,1
182791,2018111801,3,0.63,,2024-12-02 09:58:31,,1
182792,2010022811,3,0.71,,2024-12-02 09:58:33,,1
182793,2010022811,1,0.64,,2024-12-02 09:58:34,,1
182794,2002020207,3,0.67,,2024-12-02 09:58:35,,1
182795,2013010102s,1,0.69,,2024-12-02 09:58:36,,1
182796,2013012302,3,0.63,,2024-12-02 09:58:41,,1
182797,2022101701s,3,0.64,,2024-12-02 09:58:51,,1
182798,2020121402,3,0.64,,2024-12-02 09:58:57,,1
182799,2018121902,0,0.64,,2024-12-02 09:58:58,,1
182800,2008032302s,3,0.71,,2024-12-02 09:59:10,,1
182801,2002022701s,3,0.66,,2024-12-02 09:59:15,,1
182802,2010100703,1,0.68,,2024-12-02 09:59:21,,1
182803,2006030104,3,0.66,,2024-12-02 09:59:22,,1
182804,2006030104,1,0.67,,2024-12-02 09:59:22,,1
182805,2010031102,3,0.65,,2024-12-02 09:59:28,,1
182806,2022101107,1,0.65,,2024-12-02 09:59:34,,1
182807,2011040304s,1,0.64,,2024-12-02 09:59:35,,1
182808,2024062402,3,0.68,,2024-12-02 09:59:40,,1
182809,2012030108,3,0.68,,2024-12-02 10:00:05,,1
182810,2012030108,1,0.63,,2024-12-02 10:00:06,,1
182811,2006021501s,1,0.66,,2024-12-02 10:00:24,,1
182812,2015012903s,3,0.63,,2024-12-02 10:00:43,,1
182813,2015012903s,1,0.66,,2024-12-02 10:00:43,,1
182814,2013051509,3,0.66,,2024-12-02 10:00:49,,1
182815,2013051509,1,0.68,,2024-12-02 10:00:52,,1
182816,2024020501,1,0.65,,2024-12-02 10:01:04,,1
182817,2021022505,1,0.64,,2024-12-02 10:01:33,,1
182818,2024091801,3,0.69,,2024-12-02 10:01:38,,1
182819,2024091801,1,0.64,,2024-12-02 10:01:40,,1
182820,2020031101s,3,0.67,,2024-12-02 10:02:37,,1
182821,2020031101s,1,0.66,,2024-12-02 10:02:39,,1
182822,2022091802,3,0.66,,2024-12-02 10:03:26,,1
182823,2006021501s,1,0.64,,2024-12-02 10:04:25,,1
182824,2012030108,3,0.66,,2024-12-02 10:04:42,,1
182825,2022080123,3,0.7,,2024-12-02 10:04:49,,1
182826,2014070901,3,0.73,,2024-12-02 10:05:41,,1
182827,2007120302,3,0.64,,2024-12-02 10:05:42,,1
182828,2007060401,3,0.64,,2024-12-02 10:06:00,,1
182829,2023012503,0,0.65,,2024-12-02 10:07:41,,1
182830,2017020901,3,0.7,,2024-12-02 10:07:53,,1
182831,2007060303,1,0.66,,2024-12-02 10:08:16,,1
182832,2015070601s,1,0.66,,2024-12-02 10:08:27,,1
182833,2023012503,3,0.69,,2024-12-02 10:12:31,,1
182834,2017121104,3,0.67,,2024-12-02 10:12:40,,1
182835,2017121104,1,0.71,,2024-12-02 10:12:46,,1
182836,2022090103,1,0.66,,2024-12-02 10:13:08,,1
182837,2024070905,3,0.63,,2024-12-02 10:14:50,,1
182838,2021062903,3,0.64,,2024-12-02 10:18:52,,1
182839,2021062903,1,0.65,,2024-12-02 10:18:52,,1
182840,2021110201,0,0.72,,2024-12-02 10:19:13,,1
182841,2019040701s,3,0.73,,2024-12-02 10:20:49,,1
182842,20130226001,3,0.64,,2024-12-02 10:21:03,,1
182843,2020113002,1,0.63,,2024-12-02 10:26:22,,1
182844,2016011901,1,0.65,,2024-12-02 10:27:19,,1
182845,2013051510s,1,0.69,,2024-12-02 10:30:02,,1
