ID,employee_id,camera_no,confidence,name,time,branch_id,status
1168,2002012003,1,0.66,,2024-08-18 08:59:42,,0
1169,2007020402,1,0.72,,2024-08-18 09:00:04,,0
1170,2022080120,1,0.65,,2024-08-18 09:01:27,,0
1171,2005031201,1,0.63,,2024-08-18 09:13:17,,0
1172,2013042502,1,0.76,,2024-08-18 09:14:14,,0
1173,2012022902,1,0.82,,2024-08-18 09:31:23,,0
1174,2017021602,1,0.73,,2024-08-18 09:31:36,,0
1175,2011031312,1,0.62,,2024-08-18 09:32:24,,0
1176,2013041601,1,0.69,,2024-08-18 09:33:38,,0
1177,2010030204,1,0.64,,2024-08-18 09:34:17,,0
1178,2007051001,1,0.75,,2024-08-18 09:34:31,,0
1179,2007121902,1,0.68,,2024-08-18 09:34:34,,0
1180,2009070703,1,0.62,,2024-08-18 09:36:01,,0
1183,2021030107,1,0.65,,2024-08-18 09:41:25,,0
1184,2010021802,1,0.72,,2024-08-18 09:43:14,,0
1185,2008112501,1,0.65,,2024-08-18 09:44:25,,0
1186,2012062002,1,0.69,,2024-08-18 09:44:37,,0
1188,2015012905,1,0.62,,2024-08-18 09:44:47,,0
1189,2017081702,1,0.69,,2024-08-18 09:45:44,,0
1190,2016112701,1,0.64,,2024-08-18 09:47:48,,0
1191,2001122901,1,0.67,,2024-08-18 09:52:00,,0
1192,2020060103,1,0.65,,2024-08-18 09:53:09,,0
1193,2017101901,1,0.69,,2024-08-18 09:55:11,,0
